ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN2678_c0_g1_i9,TRINITY_DN2678_c0_g1_i9,14.773,57.532,52.373,0,68.472,50.73,0,0,TRINITY_DN2678_c0_g1_i9,TOR_ORYSJ,PF02259.24,FAT domain   ,|0006468|0038202|0016242|0009745|0010116|1900459|0010929|1902661|1901355|2000234|0040019|0050687|0009303|0040008|0009630|0009793|0009733|0009615|0045893|0051128|0016311|0009688|0009742|0036092|1904262|0006950|0031570|0000723|0006364|0016032|0006468|0038202|0016242|0009745|0036092|0010116|1900459|0010929|1902661|1901355|2000234|0040019|0050687|0009303|0009630|0009793|0030307|0009733|0009615|0009688|0045893|0009742|0016311|0090502|0006952|0016032,|protein phosphorylation|TORC1 signaling|negative regulation of macroautophagy|sucrose mediated signaling|positive regulation of abscisic acid biosynthetic process|positive regulation of brassinosteroid mediated signaling pathway|positive regulation of auxin mediated signaling pathway|positive regulation of glucose mediated signaling pathway|response to rapamycin|positive regulation of rRNA processing|positive regulation of embryonic development|negative regulation of defense response to virus|rRNA transcription|regulation of growth|gravitropism|embryo development ending in seed dormancy|response to auxin|response to virus|positive regulation of transcription DNA-templated|regulation of cellular component organization|dephosphorylation|abscisic acid biosynthetic process|brassinosteroid mediated signaling pathway|phosphatidylinositol-3-phosphate biosynthetic process|negative regulation of TORC1 signaling|response to stress|DNA integrity checkpoint|telomere maintenance|rRNA processing|viral process|protein phosphorylation|TORC1 signaling|negative regulation of macroautophagy|sucrose mediated signaling|phosphatidylinositol-3-phosphate biosynthetic process|positive regulation of abscisic acid biosynthetic process|positive regulation of brassinosteroid mediated signaling pathway|positive regulation of auxin mediated signaling pathway|positive regulation of glucose mediated signaling pathway|response to rapamycin|positive regulation of rRNA processing|positive regulation of embryonic development|negative regulation of defense response to virus|rRNA transcription|gravitropism|embryo development ending in seed dormancy|positive regulation of cell growth|response to auxin|response to virus|abscisic acid biosynthetic process|positive regulation of transcription DNA-templated|brassinosteroid mediated signaling pathway|dephosphorylation|RNA phosphodiester bond hydrolysis endonucleolytic|defense response|viral process,|0106311|0106310|0044877|0005524|0043621|0000976|0042802|0016303|0008168|0106311|0106310|0044877|0005524|0016303|0043621|0000976|0042802|0004523,|protein threonine kinase activity|protein serine kinase activity|protein-containing complex binding|ATP binding|protein self-association|transcription regulatory region sequence-specific DNA binding|identical protein binding|1-phosphatidylinositol-3-kinase activity|methyltransferase activity|protein threonine kinase activity|protein serine kinase activity|protein-containing complex binding|ATP binding|1-phosphatidylinositol-3-kinase activity|protein self-association|transcription regulatory region sequence-specific DNA binding|identical protein binding|RNA-DNA hybrid ribonuclease activity,|0031931|0031932|0005634|0005844|0005737|0016021|0031931|0031932|0005634|0005844|0016021|0005737,|TORC1 complex|TORC2 complex|nucleus|polysome|cytoplasm|integral component of membrane|TORC1 complex|TORC2 complex|nucleus|polysome|integral component of membrane|cytoplasm
TRINITY_DN980_c0_g1_i11,TRINITY_DN980_c0_g1_i11,162.785,44.316,83.912,32.454,27.099,113.342,0,6.287,TRINITY_DN980_c0_g1_i11,SR34_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0000381|0045292|0009734|0055085,|regulation of alternative mRNA splicing via spliceosome|mRNA cis splicing via spliceosome|auxin-activated signaling pathway|transmembrane transport,|0003723,|RNA binding,|0016607|0005829|0016021,|nuclear speck|cytosol|integral component of membrane
TRINITY_DN13732_c0_g1_i5,TRINITY_DN13732_c0_g1_i5,33.395,32.176,72.155,0,11.79,41.496,0,0,TRINITY_DN13732_c0_g1_i5,ALA4_ARATH,PF13246.7,Cation transport ATPase (P-type) ,|0034204|0015914|1901703|0009860|1905038|0010286,|lipid translocation|phospholipid transport|protein localization involved in auxin polar transport|pollen tube growth|regulation of membrane lipid metabolic process|heat acclimation,|0140326|0000287|0005524|0008270,|ATPase-coupled intramembrane lipid transporter activity|magnesium ion binding|ATP binding|zinc ion binding,|0016021|0005886|0012505|0043231|0005737,|integral component of membrane|plasma membrane|endomembrane system|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN6779_c0_g1_i4,TRINITY_DN6779_c0_g1_i4,20.613,45.723,32.518,5.217,0,7.751,0,0,TRINITY_DN6779_c0_g1_i4,PIN1A_ORYSJ,PF03547.19,Membrane transport protein  ,|0009734|0010252|0010315|0009926|0055085|0015074|0006351,|auxin-activated signaling pathway|auxin homeostasis|auxin efflux|auxin polar transport|transmembrane transport|DNA integration|transcription DNA-templated,|0010329|0003899|0003676,|auxin efflux transmembrane transporter activity|DNA-directed 5'-3' RNA polymerase activity|nucleic acid binding,|0005783|0016021|0005886,|endoplasmic reticulum|integral component of membrane|plasma membrane
TRINITY_DN2061_c1_g1_i1,TRINITY_DN2061_c1_g1_i1,16,88.773,19,29,9,22,1,0,TRINITY_DN2061_c1_g1_i1,AVT1C_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085,|amino acid transport|auxin-activated signaling pathway|transmembrane transport,|0015293,|symporter activity,|0005774|0016021|0005886,|vacuolar membrane|integral component of membrane|plasma membrane
TRINITY_DN2454_c0_g1_i5,TRINITY_DN2454_c0_g1_i5,8.524,12.186,16.004,7.208,0,37.865,346.131,1.431,TRINITY_DN2454_c0_g1_i5,ILL6_ORYSJ,.,.,|0009694|0009850|0015074,|jasmonic acid metabolic process|auxin metabolic process|DNA integration,|0016787|0003676,|hydrolase activity|nucleic acid binding,|0005783|0016021,|endoplasmic reticulum|integral component of membrane
TRINITY_DN10179_c0_g1_i2,TRINITY_DN10179_c0_g1_i2,71.798,61.557,72.814,17.235,94.118,160.386,3.593,2.724,TRINITY_DN10179_c0_g1_i2,AB29G_ARATH,PF19055.1,ABC-2 type transporter  ,|0055085|0055085|0071366|0018901|0009804|1990641|0010252|0010315|0009926|0048364|0009734|0140352|1990748,|transmembrane transport|transmembrane transport|cellular response to indolebutyric acid stimulus|24-dichlorophenoxyacetic acid metabolic process|coumarin metabolic process|response to iron ion starvation|auxin homeostasis|auxin efflux|auxin polar transport|root development|auxin-activated signaling pathway|export from cell|cellular detoxification,|0042626|0005524|0042626|0005524|0010329|0015562|0003677,|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled transmembrane transporter activity|ATP binding|auxin efflux transmembrane transporter activity|efflux transmembrane transporter activity|DNA binding,|0016021|0016021|0009506|0005886,|integral component of membrane|integral component of membrane|plasmodesma|plasma membrane
TRINITY_DN2751_c0_g1_i1,TRINITY_DN2751_c0_g1_i1,40.824,23.811,37.285,15.925,0,0,0,0,TRINITY_DN2751_c0_g1_i1,JAR4_NICAT,PF03321.14,GH3 auxin-responsive promoter  ,|0009864|0009694|0009611|0010193|0009640|0009585|0010119|0009627|2000377|0009733|0040008|0031348|0009864|0009694|0009611,|induced systemic resistance jasmonic acid mediated signaling pathway|jasmonic acid metabolic process|response to wounding|response to ozone|photomorphogenesis|red far-red light phototransduction|regulation of stomatal movement|systemic acquired resistance|regulation of reactive oxygen species metabolic process|response to auxin|regulation of growth|negative regulation of defense response|induced systemic resistance jasmonic acid mediated signaling pathway|jasmonic acid metabolic process|response to wounding,|0016881|0102058|0102057|0102053|0070566|0005524|0016881|0102057|0102053|0102058,|acid-amino acid ligase activity|jasmonoyl-leucine synthetase activity|jasmonoyl-valine synthetase activity|(-)-jasmonoyl-isoleucine synthetase activity|adenylyltransferase activity|ATP binding|acid-amino acid ligase activity|jasmonoyl-valine synthetase activity|(-)-jasmonoyl-isoleucine synthetase activity|jasmonoyl-leucine synthetase activity,|0005737|0043231|0005737,|cytoplasm|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN2589_c0_g1_i2,TRINITY_DN2589_c0_g1_i2,162.566,163.843,117.842,84.915,71.414,68.847,0,12.948,TRINITY_DN2589_c0_g1_i2,RMLCD_ARATH,PF16363.6,GDP-mannose 4,|0009225|0051555|0010315|1901137|0034654|0006793|0009225|0051555|0010315|1901137|0034654|0006793,|nucleotide-sugar metabolic process|flavonol biosynthetic process|auxin efflux|carbohydrate derivative biosynthetic process|nucleobase-containing compound biosynthetic process|phosphorus metabolic process|nucleotide-sugar metabolic process|flavonol biosynthetic process|auxin efflux|carbohydrate derivative biosynthetic process|nucleobase-containing compound biosynthetic process|phosphorus metabolic process,|0008460|0010280|0050377|0008460|0050377|0010280,|dTDP-glucose 46-dehydratase activity|UDP-L-rhamnose synthase activity|UDP-glucose 46-dehydratase activity|dTDP-glucose 46-dehydratase activity|UDP-glucose 46-dehydratase activity|UDP-L-rhamnose synthase activity,.,.
TRINITY_DN11726_c0_g1_i1,TRINITY_DN11726_c0_g1_i1,25,12,26,16,22,105,220,17,TRINITY_DN11726_c0_g1_i1,CRF4_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873|0006952|0048825|0009736|0048364|0009624|0010200|0009644|0010087|0000302|0051301,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|cotyledon development|cytokinin-activated signaling pathway|root development|response to nematode|response to chitin|response to high light intensity|phloem or xylem histogenesis|response to reactive oxygen species|cell division,|0003700|0003677|0042802|0001067,|DNA-binding transcription factor activity|DNA binding|identical protein binding|regulatory region nucleic acid binding,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN3033_c0_g1_i24,TRINITY_DN3033_c0_g1_i24,74.894,24.713,44.557,8.986,12.873,197.355,0,1.892,TRINITY_DN3033_c0_g1_i24,PIN3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0009926|0055085|0010315|0010252|0010015|0009630|0090627|0090558|0048588|0060560|0048469|0000904|0009416,|auxin-activated signaling pathway|auxin polar transport|transmembrane transport|auxin efflux|auxin homeostasis|root morphogenesis|gravitropism|plant epidermal cell differentiation|plant epidermis development|developmental cell growth|developmental growth involved in morphogenesis|cell maturation|cell morphogenesis involved in differentiation|response to light stimulus,|0010329,|auxin efflux transmembrane transporter activity,|0005783|0016021|0009921|0016328|0009986|0012506,|endoplasmic reticulum|integral component of membrane|auxin efflux carrier complex|lateral plasma membrane|cell surface|vesicle membrane
TRINITY_DN59_c0_g1_i5,TRINITY_DN59_c0_g1_i5,453.423,286.422,310.98,184.583,0,475.051,12.226,0,TRINITY_DN59_c0_g1_i5,Y1561_ARATH,PF11721.9,Malectin domain   ,|0006468|0009734|0006865|0006508|0055085|0006468,|protein phosphorylation|auxin-activated signaling pathway|amino acid transport|proteolysis|transmembrane transport|protein phosphorylation,|0004672|0005524|0008017|0015293|0004190|0004672|0005524|0030246,|protein kinase activity|ATP binding|microtubule binding|symporter activity|aspartic-type endopeptidase activity|protein kinase activity|ATP binding|carbohydrate binding,|0016021|0005886|0016021|0005886,|integral component of membrane|plasma membrane|integral component of membrane|plasma membrane
TRINITY_DN2751_c0_g2_i1,TRINITY_DN2751_c0_g2_i1,51.497,73.082,116.608,13.968,15.484,19.049,0,3.543,TRINITY_DN2751_c0_g2_i1,JAR4_NICAT,PF03321.14,GH3 auxin-responsive promoter  ,|0009864|0009694|0009611|0010193|0009640|0009585|0010119|0009627|2000377|0009733|0040008|0031348|0009864|0009694|0009611|0009416,|induced systemic resistance jasmonic acid mediated signaling pathway|jasmonic acid metabolic process|response to wounding|response to ozone|photomorphogenesis|red far-red light phototransduction|regulation of stomatal movement|systemic acquired resistance|regulation of reactive oxygen species metabolic process|response to auxin|regulation of growth|negative regulation of defense response|induced systemic resistance jasmonic acid mediated signaling pathway|jasmonic acid metabolic process|response to wounding|response to light stimulus,|0080123|0102057|0102053|0102058|0070566|0005524|0016881|0102057|0102053|0102058,|jasmonate-amino synthetase activity|jasmonoyl-valine synthetase activity|(-)-jasmonoyl-isoleucine synthetase activity|jasmonoyl-leucine synthetase activity|adenylyltransferase activity|ATP binding|acid-amino acid ligase activity|jasmonoyl-valine synthetase activity|(-)-jasmonoyl-isoleucine synthetase activity|jasmonoyl-leucine synthetase activity,|0005773|0016021|0005737|0043231|0016021,|vacuole|integral component of membrane|cytoplasm|intracellular membrane-bounded organelle|integral component of membrane
TRINITY_DN4539_c0_g1_i2,TRINITY_DN4539_c0_g1_i2,259.831,117.49,183.683,97.823,50.694,505.817,0,14,TRINITY_DN4539_c0_g1_i2,GASA6_ARATH,PF02704.15,Gibberellin regulated protein  ,|0009739|0045454,|response to gibberellin|cell redox homeostasis,.,.,.,.
TRINITY_DN9006_c0_g1_i9,TRINITY_DN9006_c0_g1_i9,20.339,42.808,23.527,0,0,36.997,0,0,TRINITY_DN9006_c0_g1_i9,CPS1_ORYSJ,PF01397.22,Terpene synthase,|0009686,|gibberellin biosynthetic process,|0010333|0000287|0009905|0050559,|terpene synthase activity|magnesium ion binding|ent-copalyl diphosphate synthase activity|copalyl diphosphate synthase activity,|0009507|0016021,|chloroplast|integral component of membrane
TRINITY_DN9117_c0_g1_i9,TRINITY_DN9117_c0_g1_i9,45.078,56.747,135.277,64.175,0,147.853,119.807,134.229,TRINITY_DN9117_c0_g1_i9,LAX3_MEDTR,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN4890_c0_g1_i10,TRINITY_DN4890_c0_g1_i10,15.469,45.004,0,13.813,0,12.396,0,0,TRINITY_DN4890_c0_g1_i10,RTE1_ARATH,PF05608.13,Protein of unknown function (DUF778),|0010104|0009723,|regulation of ethylene-activated signaling pathway|response to ethylene,.,.,|0005794|0005783|0016021,|Golgi apparatus|endoplasmic reticulum|integral component of membrane
TRINITY_DN4181_c0_g2_i14,TRINITY_DN4181_c0_g2_i14,364.099,543.781,849.633,334.488,758.229,983.943,697.335,1223.957,TRINITY_DN4181_c0_g2_i14,SWT14_ORYSI,PF03083.17,Sugar efflux transporter for intercellular,|0008643|0098656|0048316|0048609|0071695|0051260|0009790|0048653|0046865|0048589|0015849,|carbohydrate transport|anion transmembrane transport|seed development|multicellular organismal reproductive process|anatomical structure maturation|protein homooligomerization|embryo development|anther development|terpenoid transport|developmental growth|organic acid transport,|0051119|0008515|1905201|0005515,|sugar transmembrane transporter activity|sucrose transmembrane transporter activity|gibberellin transmembrane transporter activity|protein binding,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN11151_c0_g1_i2,TRINITY_DN11151_c0_g1_i2,43.535,90.562,46.518,51.246,13.842,82.774,0,5.212,TRINITY_DN11151_c0_g1_i2,BBRB_ORYSJ,PF06217.13,GAGA binding protein-like family ,|0009723|0006355,|response to ethylene|regulation of transcription DNA-templated,|0043565|0003700,|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN1674_c0_g3_i1,TRINITY_DN1674_c0_g3_i1,10,8,11,11,49,43,38,30,TRINITY_DN1674_c0_g3_i1,ERF34_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873,|regulation of transcription DNA-templated|ethylene-activated signaling pathway,|0003700|0003677|0001067,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding,|0005634,|nucleus
TRINITY_DN4088_c0_g1_i1,TRINITY_DN4088_c0_g1_i1,1103.381,473.992,986.335,419.036,1057.482,2137.415,2617.5,1315.785,TRINITY_DN4088_c0_g1_i1,RAP24_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677|0005515,|DNA-binding transcription factor activity|DNA binding|protein binding,|0005634,|nucleus
TRINITY_DN13475_c0_g1_i1,TRINITY_DN13475_c0_g1_i1,53,37.101,52.186,0,17.562,49.403,40.147,366.387,TRINITY_DN13475_c0_g1_i1,FLA11_ARATH,PF02469.23,Fasciclin domain   ,|0009834|0090376|0009826|0009735|0009739|0009651|0009737|0009733|0000904,|plant-type secondary cell wall biogenesis|seed trichome differentiation|unidimensional cell growth|response to cytokinin|response to gibberellin|response to salt stress|response to abscisic acid|response to auxin|cell morphogenesis involved in differentiation,.,.,|0005886|0031224,|plasma membrane|intrinsic component of membrane
